region,new.district.code,new.district.name
B,1, กรุงเทพมหานคร เขต 1
B,2,กรุงเทพมหานคร เขต 2
C,3,กาญจนบุรี 
C,7,จันทบุรี ตราด 
C,8,ฉะเชิงเทรา 
C,9,ชลบุรี ระยอง
C,15,นครปฐม 
C,20,นนทบุรี 
C,25,ปทุมธานี 
C,26,ประจวบคีรีขันธ์ 
C,27,ปราจีนบุรี นครนายก
C,29,พระนครศรีอยุธยา  
C,35,เพชรบุรี 
C,43,ราชบุรี 
C,44,ลพบุรี 
C,50,สมุทรปราการ 
C,51,สมุทรสาคร สมุทรสงคราม
C,52,สระแก้ว 
C,53,สระบุรี 
C,54,สิงห์บุรี อ่างทอง
C,56,สุพรรณบุรี 
N,5,กำแพงเพชร 
N,11,เชียงราย พะเยา 
N,12,เชียงใหม่ 
N,14,ตาก 
N,19,นครสวรรค์ 
N,22,น่าน 
N,30,พะเยา
N,33,พิจิตร
N,34,พิษณุโลก อุตรดิตถ์
N,36,เพชรบูรณ์ 
N,37,แพร่ 
N,40,แม่ฮ่องสอน 
N,45,ลำปาง 
N,55,สุโขทัย 
N,61,อุทัยธานี ชัยนาท
I,4,กาฬสินธุ์ 
I,6,ขอนแก่น 
I,10,ชัยภูมิ 
I,16,นครพนม 
I,17,นครราชสีมา 
I,23,บึงกาฬ
I,24,บุรีรัมย์ 
I,38,มหาสารคาม 
I,39,มุกดหาร 
I,42,ร้อยเอ็ด 
I,46,เลย หนองบัวลำภู
I,47,ศรีสะเกษ ยโสธร
I,48,สกลนคร 
I,58,สุรินทร์ 
I,59,หนองคาย
I,60,อุดรธานี
I,62,อุบลราชธานี 
S,13,ตรัง กระบี่
S,18,นครศรีธรรมราช
S,21,นราธิวาส
S,28,ปัตตานี
S,31,พังงา ภูเก็ต ระนอง
S,32,พัทลุง 
S,41,ยะลา
S,49,สงขลา สตูล
S,57,สุราษฎร์ธานี ชุมพร
